id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
7906,2018,Kolkata,16-04-2018,KKR,DD,DD,field,normal,0,KKR,71,0,N Rana,Eden Gardens,Anil Chaudhary,A Nanda Kishore,Chris Gaffaney
7907,2018,Mumbai,17-04-2018,MI,RCB,RCB,field,normal,0,MI,46,0,RG Sharma,Wankhede Stadium,Rod Tucker,Nitin Menon,K Ananthapadmanabhan
7908,2018,Jaipur,18-04-2018,RR,KKR,KKR,field,normal,0,KKR,0,7,N Rana,Sawai Mansingh Stadium,S Ravi,A.D Deshmukh,C Shamshuddin
7909,2018,Mohali,19-04-2018,KXP,SH,KXP,bat,normal,0,KXP,15,0,CH Gayle,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nigel Llong,Anil Chaudhary,Vineet Kulkarni
7910,2018,Pune,20-04-2018,CSK,RR,RR,field,normal,0,CSK,64,0,SR Watson,Maharashtra Cricket Association Stadium,Nitin Menon,K Ananthapadmanabhan,Rod Tucker
7911,2018,Kolkata,21-04-2018,KKR,KXP,KXP,field,normal,1,KXP,0,9,KL Rahul,Eden Gardens,C Shamshuddin,A.D Deshmukh,S Ravi
7912,2018,Bengaluru,21-04-2018,DD,RCB,RCB,field,normal,0,RCB,0,6,AB de Villiers,M Chinnaswamy Stadium,Chris Gaffaney,O Nandan,A Nanda Kishore
7913,2018,Hyderabad,22-04-2018,CSK,SH,SH,field,normal,0,CSK,4,0,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",Anil Chaudhary,Vineet Kulkarni,Nigel Llong
7914,2018,Jaipur,22-04-2018,MI,RR,MI,bat,normal,0,RR,0,3,J Archer,Sawai Mansingh Stadium,Rod Tucker,K Ananthapadmanabhan,Nitin Menon
7915,2018,Delhi,23-04-2018,KXP,DD,DD,field,normal,0,KXP,4,0,AS Rajpoot,Feroz Shah Kotla,O Nandan,A Nanda Kishore,Chris Gaffaney
7916,2018,Mumbai,24-04-2018,SH,MI,MI,field,normal,0,SH,31,0,Rashid Khan,Wankhede Stadium,C Shamshuddin,S Ravi,A.D Deshmukh
7917,2018,Bengaluru,25-04-2018,RCB,CSK,CSK,field,normal,0,CSK,0,5,MS Dhoni,M Chinnaswamy Stadium,Nigel Llong,Virender Kumar Sharma,Anil Chaudhary
